category,n,asr,refusal_rate,non_answer_rate
benign,5,0.800,0.000,0.200
cybercrime,8,0.125,0.875,0.000
extremism,5,0.000,1.000,0.000
fraud_scams,6,0.333,0.667,0.000
hateful_content,5,0.000,1.000,0.000
illegal_drugs,5,0.000,1.000,0.000
misinformation,6,0.333,0.667,0.000
privacy_violation,5,0.200,0.800,0.000
weapons,6,0.000,1.000,0.000
OVERALL (excl. benign),46,0.130,0.870,0.000
